source;record_sequence_number_NGA;event_id;ev_depth_km;Mw;M;epi_lat;epi_lon;network_code;station_code;sensor_depth_m;proximity_code;GMX_first;ec8_code;vs30_m_sec;epi_dist;rotD50_pga;rotD50_T0_010;rotD50_T0_025;rotD50_T0_040;rotD50_T0_050;rotD50_T0_070;rotD50_T0_100;rotD50_T0_150;rotD50_T0_200;rotD50_T0_250;rotD50_T0_300;rotD50_T0_350;rotD50_T0_400;rotD50_T0_450;rotD50_T0_500;rotD50_T0_600;rotD50_T0_700;rotD50_T0_750;rotD50_T0_800;rotD50_T0_900;rotD50_T1_000;rotD50_T1_200;rotD50_T1_400;rotD50_T1_600;rotD50_T1_800;rotD50_T2_000;rotD50_T2_500;rotD50_T3_000;rotD50_T3_500;rotD50_T4_000;rotD50_T5_000;rotD50_T6_000;rotD50_T7_000;rotD50_T8_000;rotD50_T9_000;rotD50_T10_000
NGA-West2;265;64;11;;6.33;32.185;-115.076;;6604;;;I;;471.53;33.73;6.15E-01;6.15E-01;6.15E-01;1.40E+00;9.91E-01;1.50E+00;1.25E+00;1.91E+00;1.31E+00;1.45E+00;1.38E+00;1.06E+00;1.88E+00;1.05E+00;1.47E+00;1.20E+00;8.29E-01;5.31E-01;5.79E-01;8.30E-01;9.77E-01;6.15E-01;3.20E-01;2.52E-01;2.13E-01;1.51E-01;7.32E-02;3.37E-02;4.33E-02;3.35E-02;1.25E-02;6.80E-03;4.32E-03;3.19E-03;2.46E-03;1.96E-03
NGA-West2;266;64;11;;6.33;32.185;-115.076;;6621;;;I;;242.05;36.67;1.21E-01;1.21E-01;1.21E-01;1.42E-01;1.93E-01;3.09E-01;3.25E-01;4.06E-01;4.92E-01;6.16E-01;5.57E-01;7.28E-01;3.63E-01;4.97E-01;3.61E-01;5.47E-01;5.56E-01;2.82E-01;2.97E-01;3.79E-01;3.83E-01;3.24E-01;3.19E-01;3.12E-01;2.10E-01;3.44E-01;1.61E-01;1.16E-01;1.50E-01;1.06E-01;9.20E-02;2.87E-02;1.89E-02;2.46E-02;2.67E-02;2.37E-02
NGA-West2;267;64;11;;6.33;32.185;-115.076;;6617;;;I;;242.05;42.76;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02;-9.99E+02
NGA-West2;268;64;11;;6.33;32.185;-115.076;;6619;;;A;;259.59;58.87;8.31E-02;8.33E-02;8.33E-02;1.05E-01;1.03E-01;1.91E-01;2.70E-01;4.19E-01;3.32E-01;3.43E-01;3.32E-01;4.16E-01;3.20E-01;3.81E-01;2.80E-01;2.86E-01;1.42E-01;1.84E-01;1.62E-01;1.43E-01;7.56E-02;1.31E-01;1.36E-01;7.89E-02;9.78E-02;7.01E-02;4.50E-02;2.79E-02;2.25E-02;1.24E-02;5.34E-03;3.85E-03;2.48E-03;1.74E-03;1.27E-03;1.05E-03
NGA-West2;269;64;11;;6.33;32.185;-115.076;;6624;;;B;;242.05;11.79;3.73E-02;3.74E-02;3.74E-02;4.08E-02;5.05E-02;5.01E-02;6.79E-02;8.45E-02;8.94E-02;1.17E-01;1.47E-01;1.33E-01;3.07E-01;1.77E-01;1.73E-01;1.84E-01;1.12E-01;1.29E-01;1.06E-01;1.08E-01;1.07E-01;1.13E-01;1.09E-01;1.06E-01;9.04E-02;5.05E-02;5.99E-02;2.01E-02;2.74E-02;2.02E-02;8.75E-03;5.50E-03;3.93E-03;3.37E-03;2.30E-03;1.80E-03
NGA-West2;270;65;7.63;;4.85;37.546;-118.8823;;42;;;I;;472.2;5.54;1.70E-01;1.76E-01;1.76E-01;8.45E-01;9.38E-01;1.02E+00;8.31E-01;3.77E-01;1.58E-01;1.35E-01;1.06E-01;7.12E-02;4.84E-02;4.95E-02;3.97E-02;3.00E-02;2.06E-02;1.97E-02;1.82E-02;1.05E-02;6.74E-03;4.21E-03;2.65E-03;2.01E-03;1.44E-03;1.05E-03;6.16E-04;3.97E-04;2.74E-04;2.01E-04;1.27E-04;8.64E-05;6.21E-05;4.67E-05;3.63E-05;2.90E-05
NGA-West2;271;65;7.63;;4.85;37.546;-118.8823;;43;;;I;;373.18;8.86;6.40E-02;6.50E-02;6.50E-02;1.14E-01;2.29E-01;2.71E-01;5.14E-01;2.98E-01;9.80E-02;9.92E-02;1.08E-01;5.08E-02;3.53E-02;4.45E-02;2.39E-02;1.53E-02;1.23E-02;1.60E-02;1.39E-02;1.00E-02;8.33E-03;3.05E-03;1.90E-03;1.34E-03;1.02E-03;7.87E-04;4.35E-04;2.75E-04;1.96E-04;1.49E-04;9.72E-05;6.81E-05;5.01E-05;3.84E-05;3.03E-05;2.44E-05
NGA-West2;272;65;7.63;;4.85;37.546;-118.8823;;3;;;I;;353.2;9.9;2.83E-02;2.87E-02;2.87E-02;5.93E-02;1.56E-01;1.01E-01;1.55E-01;2.20E-01;9.98E-02;9.81E-02;6.61E-02;6.38E-02;5.93E-02;4.44E-02;3.34E-02;3.30E-02;3.61E-02;3.78E-02;3.02E-02;2.44E-02;2.11E-02;1.78E-02;1.68E-02;9.44E-03;4.53E-03;3.47E-03;1.64E-03;1.10E-03;6.58E-04;4.91E-04;2.90E-04;1.88E-04;1.32E-04;9.75E-05;7.56E-05;6.06E-05
NGA-West2;273;65;7.63;;4.85;37.546;-118.8823;;44;;;I;;295.93;11.06;8.72E-02;8.79E-02;8.79E-02;2.00E-01;2.10E-01;5.87E-01;3.76E-01;2.42E-01;9.94E-02;7.25E-02;6.34E-02;3.62E-02;2.62E-02;2.42E-02;1.40E-02;1.53E-02;2.38E-02;1.78E-02;1.32E-02;2.41E-02;1.79E-02;7.30E-03;8.30E-03;6.97E-03;3.29E-03;2.48E-03;1.69E-03;1.00E-03;5.88E-04;4.01E-04;2.04E-04;1.36E-04;9.18E-05;6.36E-05;4.75E-05;3.79E-05
NGA-West2;274;65;7.63;;4.85;37.546;-118.8823;;35;;;A;;377.41;11.75;9.61E-03;9.67E-03;9.67E-03;1.34E-02;1.58E-02;3.31E-02;6.70E-02;2.37E-02;2.63E-02;5.37E-02;2.50E-02;1.18E-02;1.56E-02;1.16E-02;1.67E-02;1.10E-02;1.22E-02;1.59E-02;1.38E-02;1.56E-02;7.95E-03;6.00E-03;5.61E-03;4.46E-03;2.50E-03;2.24E-03;1.34E-03;2.20E-03;6.47E-04;4.21E-04;2.81E-04;3.14E-04;2.14E-04;1.47E-04;8.26E-05;6.75E-05
