
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-10-30


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 7	9	14	15	29	40	41	47	51	56	59	67	69	70	76	77	78	80	85	86	87	88	90	107	108	109	110	111	112	113	114	115	116	117	118	119	120	123	138	160	162	163	166	168	172	173	174	177	178	182	185	186	189	190	192	251	252	253	254	255	256	257	258	259	260	261	262	263	264	267	270	271	272	273	274	275	276	277	278	281	282	283	284	285	286	287	288	290	291	292	293	294
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
2.2,0.0575659,0.31716384,0.01044833,0.02305931,0.04050031,0.13406998,0.08184434,0.02089048,0.00226838,0.00266107,0.02534961,0.01424087,0.00694982,0.00756671,0.0370627,0.06649547,0.01543276,0.41494017,0.09159669,0.02409365,0.02113744,0.01447728,0.01477608,0.05571247,0.03482772,0.01479818,0.01428949,0.00524369,0.01403523,0.0133666,0.00259819,0.00043637,0.00297021,0.00078272,0.00079382,0.00372429,0.00386519,0.00100567,0.00502543,0.01704803,0.09708226,0.25896136,0.08562553,0.07117477,0.0581285,0.09348972,0.31136755,0.23625123,0.29050195,0.49957923,0.2239691,0.05506325,0.03041678,0.12645334,0.00891934,0.01659352,0.00539443,0.00750693,0.00906453,0.00919545,0.00638154,0.0058207,0.01508098,0.0041576,0.01349313,0.00516485,0.00396805,0.00115159,0.00084211,0.00286163,0.00238495,0.00212834,0.00031991,0.00178754,0.00041818,0.00133709,0.0428556,0.04230156,0.01990104,0.03039826,0.21694915,0.17498539,0.0157106,0.04584638,0.03232961,0.04700274,0.37472175,0.02725081,0.06844083
2.4,0.05084199,0.29089851,0.00888595,0.01661546,0.03327625,0.10535193,0.07300467,0.02243156,0.00198777,0.00211754,0.02757891,0.01434646,0.00632973,0.00613069,0.04221896,0.05172378,0.01292475,0.32173151,0.0651099,0.01798922,0.0218937,0.01293088,0.01519051,0.0579852,0.03243878,0.01219825,0.01133772,0.00435295,0.01120208,0.00984824,0.00209417,0.00036023,0.0024267,0.0006438,0.00065273,0.00286912,0.00310126,0.00081883,0.00429129,0.01541136,0.07785842,0.2056085,0.07626147,0.0761702,0.04912392,0.08081627,0.27759436,0.19102226,0.26423802,0.48112968,0.23844714,0.05405064,0.02788012,0.13703576,0.00735169,0.0141062,0.00414548,0.00612214,0.00677479,0.00764966,0.00583674,0.00469333,0.01163248,0.00348756,0.01084957,0.00422487,0.00332254,0.00092951,0.00067291,0.00218557,0.00221773,0.00186264,0.0002658,0.00151245,0.00034903,0.00110684,0.03592424,0.03574416,0.01419988,0.02128497,0.17062302,0.12632126,0.01677252,0.04535865,0.028715,0.042321,0.37365949,0.02367765,0.05635639
2.5,0.04905763,0.28790333,0.00835923,0.0150491,0.02851323,0.09325043,0.07120758,0.02494427,0.00185116,0.00182628,0.02695362,0.01466725,0.00660249,0.0055475,0.04335547,0.04578382,0.01315378,0.29726605,0.05630008,0.01563097,0.02051931,0.01250797,0.01626114,0.06433348,0.02917069,0.01111825,0.00993956,0.00393079,0.00993578,0.00862255,0.00189989,0.00032912,0.00220512,0.00058796,0.00059533,0.00253935,0.00279592,0.00074383,0.00397949,0.01460979,0.06897172,0.19064586,0.07248113,0.07662267,0.0447787,0.07752346,0.26759851,0.19358759,0.25001538,0.47065196,0.24586813,0.05569127,0.02732287,0.13902672,0.00671104,0.01305674,0.00382698,0.00543832,0.00674918,0.00701111,0.00523863,0.00426041,0.01051458,0.00322897,0.00996011,0.00384694,0.00305624,0.00083937,0.00060639,0.00189063,0.00196834,0.00161864,0.00024422,0.00139551,0.00034301,0.00101132,0.03434783,0.03403489,0.01229444,0.01997353,0.15410951,0.120076,0.01588515,0.04914132,0.02656011,0.03825589,0.3863611,0.02097571,0.05480998
2.6,0.04783574,0.29107248,0.00786147,0.0148844,0.02237613,0.08075373,0.0728771,0.02449643,0.00176906,0.00156849,0.02868654,0.01457172,0.00674665,0.00612949,0.04592256,0.04199956,0.01304208,0.27958469,0.04913207,0.01366537,0.01837145,0.01276594,0.01599504,0.06187496,0.0282328,0.01013066,0.00864964,0.00357382,0.00875178,0.00769754,0.00173294,0.00030172,0.00201054,0.00053925,0.00054721,0.00225554,0.00253095,0.00068036,0.00369922,0.01325725,0.07190585,0.17585805,0.07804294,0.07396273,0.04085329,0.0713989,0.26664535,0.1978828,0.24033214,0.478636,0.25241102,0.05779348,0.02593751,0.13523409,0.00615355,0.01211354,0.00353004,0.00500253,0.006497,0.00644744,0.00492909,0.00388605,0.00980528,0.00300503,0.00912649,0.00352075,0.0028202,0.00076047,0.00054946,0.00178403,0.0016894,0.00151437,0.00022541,0.00129047,0.0003188,0.00092668,0.03253616,0.03179943,0.01033478,0.02027557,0.13914497,0.11444768,0.01351365,0.05308761,0.02526869,0.03743943,0.39027625,0.02056027,0.05059443
2.8,0.04484612,0.29055955,0.00692173,0.01366945,0.02208153,0.06730059,0.06703638,0.01922736,0.00168669,0.00117397,0.03129719,0.01536446,0.00699709,0.00640531,0.05365805,0.03514698,0.01115281,0.25048242,0.04022555,0.01048995,0.01505013,0.01204048,0.01583944,0.04911424,0.02490283,0.0084057,0.00676916,0.00310483,0.00672641,0.00626225,0.00146051,0.00025597,0.00168753,0.00045889,0.00046637,0.00178524,0.00211358,0.00057384,0.00321857,0.01011042,0.07493243,0.14883253,0.08141202,0.07549245,0.03447759,0.06326475,0.25744073,0.19703721,0.22287067,0.47737785,0.26341879,0.05501882,0.02216074,0.11487782,0.00521999,0.0104968,0.00300662,0.00425349,0.00522797,0.00550176,0.00409918,0.00327678,0.00855298,0.0025779,0.00763564,0.00301224,0.00242231,0.00063646,0.00045841,0.00151397,0.00151778,0.00160068,0.00019423,0.00111049,0.00024255,0.0007848,0.02855738,0.02711936,0.00876778,0.02174677,0.11673365,0.10646015,0.01004376,0.05604554,0.02017496,0.0337408,0.37995526,0.02069484,0.04102668
3.0,0.0418481,0.28205786,0.00620888,0.0142772,0.01849312,0.05723582,0.06494807,0.01822564,0.00125813,0.00096556,0.03000295,0.01777231,0.00728083,0.00589867,0.05538348,0.02928681,0.01036856,0.21984232,0.03541514,0.00832737,0.01380798,0.01018614,0.01576353,0.04673464,0.02314319,0.00697742,0.00598762,0.00269905,0.00564833,0.00503834,0.001248,0.00021968,0.00143344,0.00039907,0.00040172,0.00157444,0.00178854,0.00048907,0.00282306,0.00932435,0.07531944,0.12159632,0.07596282,0.07448045,0.02975293,0.05575159,0.23627496,0.19211616,0.21026082,0.46162839,0.26553263,0.05659115,0.02219049,0.10642459,0.00447734,0.00917039,0.00257431,0.00364249,0.00445477,0.0047473,0.00319672,0.00282392,0.00749466,0.00220864,0.00622533,0.00260544,0.0021022,0.00054124,0.00038993,0.0012481,0.0013262,0.00158039,0.00016944,0.00096359,0.00018428,0.00067203,0.02496915,0.02247069,0.00753824,0.01997091,0.10058812,0.08910509,0.0079638,0.05552182,0.01445432,0.03580922,0.36671595,0.02330211,0.03317654
3.2,0.03884506,0.26425343,0.0057102,0.01720831,0.01703746,0.04687414,0.05883986,0.01791521,0.00110085,0.00084784,0.03087686,0.01873364,0.00681885,0.00486705,0.05464345,0.02517551,0.00847159,0.19653987,0.03177593,0.00689406,0.01302197,0.00887209,0.01664064,0.06366493,0.02106865,0.00580713,0.00526186,0.00234629,0.00496513,0.00403773,0.00107856,0.00019047,0.00123091,0.00035044,0.00034936,0.00139979,0.00153105,0.00042091,0.00249452,0.00804545,0.07432533,0.10005591,0.07041383,0.07130613,0.02826352,0.04991423,0.22019675,0.17744826,0.19767727,0.4393685,0.26115727,0.05224157,0.02102352,0.10199288,0.00388069,0.0080708,0.00221574,0.00327447,0.00349333,0.00413701,0.00264991,0.00245569,0.00659946,0.00183631,0.00500491,0.00227549,0.0018411,0.00046653,0.00033719,0.001071,0.00106734,0.00128845,0.00014927,0.00084278,0.00015743,0.0005814,0.02060443,0.02026231,0.00680517,0.01989059,0.08703047,0.07047492,0.00672211,0.05173957,0.01212449,0.03121961,0.32847369,0.02518685,0.03366135
3.4,0.03570888,0.24181859,0.00527306,0.01557994,0.01834973,0.0412445,0.05140762,0.01780368,0.00097321,0.00075642,0.03565062,0.01892973,0.00641555,0.00524373,0.05166828,0.02294128,0.00806233,0.17615169,0.02661243,0.00588314,0.01113036,0.00740291,0.01475134,0.06385199,0.01982415,0.00485571,0.00461397,0.00204575,0.00436881,0.00346241,0.0009414,0.00016666,0.00106741,0.00031012,0.00030644,0.0012501,0.00133265,0.00036553,0.00221912,0.00665236,0.07431921,0.08612084,0.0642295,0.0549274,0.02420054,0.04661787,0.20592149,0.15519834,0.18520288,0.40970139,0.25279243,0.04803547,0.01958676,0.09679099,0.00339585,0.00715128,0.0019183,0.00281721,0.00300013,0.00363719,0.00218026,0.00215231,0.00583914,0.00156208,0.00420029,0.00200436,0.00162551,0.00040676,0.00029555,0.00094912,0.00082256,0.00089429,0.00013254,0.00074261,0.00013956,0.00050772,0.02108258,0.02002619,0.00604383,0.0217904,0.07528301,0.06948484,0.00694189,0.04401191,0.01019159,0.02780462,0.28223209,0.02689622,0.03456161
3.5,0.03415715,0.23004216,0.00507173,0.01349172,0.01783632,0.03953388,0.04865836,0.01714952,0.00086621,0.00071778,0.03596989,0.01873437,0.00615085,0.00519437,0.05250935,0.02189297,0.00820566,0.16690416,0.02540397,0.00546105,0.01106015,0.00726744,0.01317802,0.05649046,0.01929499,0.00444958,0.00431257,0.00191341,0.00409502,0.00321317,0.00088249,0.00015638,0.00099735,0.0002925,0.00028784,0.00118372,0.00124808,0.0003417,0.00209793,0.00587923,0.07518632,0.07987467,0.06069235,0.05323664,0.02197739,0.04560739,0.19849977,0.14446629,0.17963011,0.39321627,0.24736391,0.04488068,0.01900959,0.09466207,0.00318721,0.00674753,0.00178942,0.00254823,0.00276137,0.0034207,0.0020518,0.0020205,0.00550253,0.00144217,0.00395204,0.0018866,0.00153157,0.00038122,0.00027789,0.00089399,0.00075559,0.00073748,0.0001252,0.00071999,0.00013184,0.00047599,0.0221434,0.02051292,0.00569965,0.02241454,0.0700132,0.0679209,0.00721496,0.04198625,0.00916789,0.02554558,0.25818257,0.02793139,0.03381456
3.6,0.03275607,0.21857564,0.00490887,0.01119718,0.01625626,0.03852624,0.04494443,0.01667035,0.00075489,0.00068265,0.03611334,0.01857597,0.00593086,0.00507393,0.05273715,0.02088422,0.00811348,0.15805243,0.02504357,0.00508276,0.01142607,0.00690882,0.01143183,0.04983414,0.01946258,0.00408394,0.00402864,0.00179195,0.00383633,0.00299391,0.00082902,0.00014702,0.00093385,0.00027633,0.00027087,0.00112208,0.00117095,0.00032006,0.00198627,0.00531342,0.07351401,0.07606043,0.06191266,0.05222508,0.02054804,0.045922,0.19151424,0.13385689,0.17366044,0.37570514,0.24158196,0.04185053,0.01847118,0.09272635,0.00299758,0.00637607,0.00168199,0.00238454,0.00253606,0.00322309,0.00199427,0.00190009,0.00519229,0.00133253,0.00372434,0.00177891,0.00144552,0.00035809,0.00026193,0.00084241,0.00068974,0.00063053,0.00011846,0.00070827,0.00012449,0.00044713,0.02308524,0.02096985,0.00526409,0.02232149,0.06959925,0.06801043,0.0073218,0.03905471,0.00842455,0.02285389,0.23733959,0.0278896,0.03178215
3.8,0.03047924,0.19479268,0.00476909,0.00908944,0.01649197,0.03765519,0.0413233,0.0159478,0.00066103,0.00061982,0.03768235,0.01845648,0.00551918,0.00473695,0.05966417,0.01898418,0.0078846,0.14317289,0.02533654,0.00443742,0.01262212,0.00715596,0.00817038,0.0482517,0.01791571,0.00345722,0.00351577,0.00157836,0.00339712,0.00262388,0.00073596,0.00013064,0.00082354,0.00024775,0.0002411,0.00101154,0.0010359,0.00028237,0.00178791,0.0049537,0.07278641,0.07025505,0.06478535,0.05245678,0.01761352,0.05305752,0.17922437,0.1186058,0.16105949,0.33877115,0.22795857,0.03705964,0.01950901,0.08784805,0.00266689,0.00571775,0.00150438,0.00209812,0.00213748,0.00287641,0.00183403,0.00168889,0.00464004,0.00114273,0.00332284,0.00158944,0.00129377,0.00031784,0.00023422,0.00074921,0.00056861,0.00051196,0.00010647,0.00063526,0.00011095,0.00039677,0.0225223,0.01986627,0.00429541,0.0197404,0.0668228,0.06740742,0.00726526,0.03103403,0.00743516,0.01891526,0.19790565,0.02621149,0.02705625
4.0,0.02850386,0.17504346,0.00464153,0.00780357,0.01640071,0.03607378,0.04003476,0.01647888,0.00059858,0.00056382,0.03683727,0.01809754,0.00492035,0.00510202,0.0624808,0.01722669,0.00724726,0.12935917,0.02306271,0.00391937,0.01283562,0.00691737,0.00583914,0.04793632,0.01963988,0.00294643,0.0030748,0.00139851,0.0029929,0.00234006,0.00065813,0.00011686,0.00073149,0.00022338,0.00021595,0.0009158,0.00092226,0.00025084,0.00161765,0.00468001,0.07100962,0.0670327,0.05840792,0.05001265,0.01491775,0.05713537,0.16308612,0.10588214,0.14867383,0.30141276,0.21400401,0.03577105,0.02156305,0.09664482,0.00238943,0.00515465,0.00136379,0.00185751,0.00188256,0.0025836,0.00164435,0.00151079,0.00416584,0.00102281,0.00298108,0.00142868,0.00116467,0.00028409,0.000211,0.00066819,0.00048849,0.00046874,9.618e-05,0.00053205,0.00010024,0.0003545,0.02176868,0.01947992,0.00341898,0.01597603,0.06345986,0.06664598,0.0064941,0.02563585,0.00642655,0.0151734,0.17863139,0.02442218,0.02343096
4.2,0.02715786,0.16160565,0.00456388,0.0078759,0.01887148,0.03275248,0.04026409,0.01795216,0.00055156,0.0005126,0.0374665,0.01782948,0.00423942,0.00566431,0.06629258,0.01561638,0.00602993,0.12650234,0.01867717,0.00352622,0.01298345,0.00699853,0.00449955,0.04539075,0.02240625,0.00252843,0.00269923,0.00124657,0.00268727,0.0021024,0.00059243,0.00010514,0.00065397,0.00020241,0.00019453,0.00083271,0.00082591,0.00022423,0.00147053,0.00400301,0.06503487,0.06621404,0.04943992,0.05281256,0.01273655,0.05819254,0.154481,0.09536168,0.13693903,0.27578652,0.20138881,0.03971387,0.02052735,0.10242851,0.00215431,0.00466948,0.00122258,0.00165408,0.0017221,0.00233373,0.00151488,0.00135955,0.0037568,0.00092714,0.00268822,0.00129111,0.00105395,0.00025548,0.00019126,0.00059802,0.00044958,0.00039734,8.727e-05,0.00048266,9.443e-05,0.00031867,0.02146067,0.01921279,0.00272488,0.01266933,0.06037168,0.07021267,0.00602602,0.02206848,0.00571339,0.01288765,0.1626628,0.02372675,0.02228726
4.4,0.02624341,0.15176323,0.0045381,0.00741251,0.02205167,0.03209146,0.04509337,0.01760361,0.00051097,0.00046529,0.03608611,0.01578135,0.0035117,0.00533902,0.06853005,0.01415189,0.00495311,0.13800974,0.01498842,0.00319075,0.01219212,0.00730327,0.00389523,0.04320728,0.02279095,0.00224974,0.00238026,0.00111761,0.00241726,0.0018937,0.00053648,9.511e-05,0.00058811,0.00018426,0.00017613,0.00076006,0.00074364,0.00020159,0.00134245,0.00316502,0.05915303,0.06664332,0.04347858,0.06083755,0.01114439,0.05725338,0.13981275,0.0895219,0.1255386,0.25447429,0.18880042,0.04637471,0.01903662,0.113611,0.00196789,0.00424881,0.00111039,0.001481,0.00154847,0.00211878,0.00138826,0.00123021,0.00340235,0.00087047,0.00243563,0.00117247,0.0009583,0.00023098,0.00017428,0.00053719,0.00040959,0.00034132,7.951e-05,0.0004387,8.217e-05,0.00028806,0.02087433,0.02075018,0.00227114,0.00973752,0.05763346,0.07159103,0.00557504,0.01994776,0.00512584,0.01080875,0.14887463,0.02489112,0.0196458
4.6,0.02507716,0.14216089,0.00442361,0.00675306,0.0245081,0.02996103,0.04748321,0.0152985,0.00047347,0.00042161,0.03320426,0.01415411,0.00291369,0.00505127,0.06931517,0.01322225,0.00458139,0.14424704,0.01326055,0.00289844,0.01132756,0.00691132,0.00363949,0.04212006,0.0219886,0.00204292,0.00210942,0.00100751,0.00215163,0.00171076,0.00048843,8.645e-05,0.00053171,0.00016843,0.00016023,0.00069626,0.00067291,0.00018219,0.00123029,0.00260684,0.05272704,0.06440863,0.0410172,0.06330901,0.01026503,0.05399414,0.12935389,0.08659176,0.11504006,0.23374043,0.17563612,0.05069877,0.0175415,0.11274126,0.001805,0.00388191,0.00101293,0.00133283,0.00138332,0.00194098,0.00126838,0.00112178,0.0030938,0.00081687,0.00221647,0.00106943,0.00087511,0.00020983,0.00015953,0.00048441,0.00036929,0.00034793,7.271e-05,0.00039437,8.14e-05,0.0002617,0.02230799,0.02338536,0.00208072,0.00768118,0.05474289,0.06933111,0.00488312,0.0176508,0.00457758,0.00909326,0.13589264,0.02601223,0.01815157
4.8,0.02368394,0.13188561,0.00425315,0.00550342,0.0280369,0.02671725,0.04705395,0.01290574,0.00043765,0.00038151,0.03057855,0.0134011,0.0024075,0.00509577,0.06430164,0.01207328,0.00484051,0.14288831,0.01321,0.00264072,0.01056017,0.00646798,0.00366591,0.04111274,0.01891712,0.00186258,0.00187917,0.000921,0.00192262,0.00155061,0.00044684,7.893e-05,0.00048307,0.00015455,0.00014639,0.00063999,0.00061172,0.00016544,0.00113154,0.00209773,0.04657145,0.06369296,0.04159099,0.06343695,0.01077302,0.04913782,0.12037281,0.08475423,0.10634274,0.21387208,0.16243544,0.05331396,0.0163184,0.10402909,0.0016617,0.00356015,0.00092771,0.00120521,0.00123941,0.00178878,0.00115699,0.00102893,0.00282396,0.00075074,0.00202523,0.00097939,0.0008023,0.00019143,0.00014661,0.00043852,0.00033026,0.00034616,6.672e-05,0.00036087,8.067e-05,0.00023883,0.02513485,0.02548255,0.00188274,0.00618475,0.05095943,0.06413384,0.0040891,0.01494505,0.0040876,0.00759098,0.1241602,0.02576791,0.0163173
5.0,0.02228202,0.12231534,0.00405909,0.00474787,0.030723,0.02288694,0.04599663,0.01206394,0.00042301,0.00034493,0.02926526,0.01344491,0.00203438,0.00491623,0.0592635,0.01055769,0.00526055,0.13758368,0.01258958,0.00241203,0.01080455,0.00646223,0.0034587,0.03812233,0.01613273,0.00170456,0.00168179,0.00084617,0.00171825,0.00141023,0.00041059,7.235e-05,0.00044083,0.00014232,0.00013427,0.00059014,0.00055844,0.00015089,0.00104416,0.00185006,0.04396446,0.06132422,0.04304275,0.06057083,0.01089221,0.04382899,0.11199689,0.08324353,0.09976153,0.19513265,0.15022126,0.05003182,0.01482659,0.09851229,0.00153494,0.00327651,0.00085278,0.00109466,0.00111921,0.00165366,0.00105502,0.00094736,0.00258697,0.00067901,0.0018576,0.00090024,0.00073822,0.00017532,0.00013522,0.00039851,0.00029388,0.00033139,6.142e-05,0.00033146,7.863e-05,0.00021887,0.02706764,0.02661782,0.00166829,0.00472194,0.04846858,0.05949105,0.00330835,0.01250363,0.00366244,0.00642066,0.11344708,0.02459167,0.01436401
5.5,0.01918495,0.10242011,0.00359365,0.00414081,0.02950828,0.01382175,0.04117489,0.01006947,0.00037654,0.00026823,0.02614289,0.01444202,0.00156985,0.00433044,0.06066215,0.0087133,0.006011,0.1239744,0.01052983,0.00198426,0.01080802,0.00748338,0.00247459,0.02980131,0.01641725,0.0013862,0.00130155,0.00069403,0.00133615,0.00112823,0.00033783,5.911e-05,0.00035672,0.00011739,0.00010983,0.00048802,0.00045207,0.00012192,0.00086521,0.00141175,0.0458815,0.06102823,0.04439888,0.04596026,0.01136021,0.03155604,0.1054154,0.08580627,0.08542871,0.15490787,0.12176909,0.03412548,0.01364308,0.0702138,0.00127516,0.00269911,0.00070078,0.00087584,0.00089876,0.00137559,0.00084137,0.00078181,0.00210813,0.00055979,0.00151897,0.00073973,0.00060803,0.00014284,0.00011193,0.00031882,0.00022918,0.00027867,5.058e-05,0.00027196,6.977e-05,0.00017878,0.02482121,0.02359592,0.00138864,0.00424637,0.0416558,0.04771105,0.00231854,0.00980265,0.00285899,0.00474106,0.09020852,0.02260218,0.01095344
6.0,0.0162476,0.08766416,0.00301132,0.00269842,0.03062827,0.010131,0.03428372,0.00877023,0.0002928,0.00021018,0.01746025,0.01359025,0.00125179,0.00403512,0.05646289,0.00749327,0.00676853,0.10832081,0.0086297,0.00167306,0.01096774,0.00781246,0.00187243,0.02331318,0.0142582,0.00114872,0.00103448,0.00057908,0.00107183,0.00092006,0.00028345,4.922e-05,0.00029471,9.847e-05,9.153e-05,0.00041007,0.00037344,0.00010058,0.0007285,0.00116477,0.04121562,0.05420145,0.04800386,0.03486984,0.00861498,0.02537014,0.10446739,0.08334087,0.07098257,0.12327413,0.09895541,0.02507865,0.01228868,0.04139637,0.00107631,0.00226152,0.00058614,0.00071614,0.00075737,0.00116179,0.00067897,0.00065651,0.00174915,0.00047457,0.00126486,0.00061859,0.00050951,0.00011853,9.416e-05,0.00026049,0.00018452,0.00030631,4.233e-05,0.00022719,5.884e-05,0.00014887,0.01947169,0.01840007,0.00107593,0.00460945,0.03522749,0.03419239,0.00181721,0.00718182,0.00235325,0.00383879,0.07269051,0.02235833,0.00879076
6.5,0.01390391,0.07603236,0.00254258,0.00222465,0.02879447,0.00812054,0.0281439,0.00741868,0.00025164,0.00016697,0.01176864,0.01225849,0.00114404,0.0036966,0.04762755,0.00697498,0.00671857,0.08914507,0.00674797,0.00142948,0.00889683,0.00712834,0.00138629,0.01904936,0.01165246,0.00096731,0.00084084,0.00049031,0.00086992,0.00076332,0.00024159,4.163e-05,0.00024767,8.377e-05,7.747e-05,0.00034931,0.00031373,8.44e-05,0.00062174,0.0010165,0.03119872,0.0463389,0.04895025,0.03188613,0.00727215,0.02377027,0.09688022,0.07654489,0.05937374,0.0987399,0.0909332,0.0183532,0.0102568,0.03391208,0.00092061,0.00192222,0.00049754,0.00059635,0.00063867,0.00099397,0.00055619,0.00055925,0.00147387,0.00042841,0.0010695,0.00052494,0.00043317,9.989e-05,8.027e-05,0.00021676,0.00015278,0.00028416,3.592e-05,0.00019268,4.845e-05,0.00012594,0.01466883,0.01381237,0.00085686,0.00397025,0.03082197,0.02800297,0.00140276,0.00557229,0.0020101,0.00324886,0.0570625,0.02256483,0.00772448
7.0,0.01182918,0.06508179,0.00215006,0.00199509,0.02433927,0.00634596,0.02788456,0.00645896,0.00021794,0.00013487,0.00893585,0.01123252,0.00100604,0.00392966,0.03367033,0.0057415,0.00675894,0.07354648,0.00638003,0.00123358,0.00572266,0.00708728,0.00120774,0.01557649,0.0101083,0.00082568,0.00069644,0.00042042,0.00071539,0.000643,0.00020857,3.568e-05,0.00021114,7.213e-05,6.642e-05,0.00030107,0.00026734,7.186e-05,0.0005368,0.00081129,0.02538686,0.03906257,0.04497689,0.02913899,0.00520932,0.02189266,0.0816451,0.0698517,0.05406982,0.08048281,0.08121542,0.0133139,0.00888187,0.02864524,0.0007964,0.00165391,0.0004277,0.00050432,0.00053897,0.0008599,0.00047408,0.00048219,0.0012585,0.00037152,0.00091619,0.00045108,0.00037282,8.529e-05,6.921e-05,0.00018323,0.00012785,0.0002179,3.085e-05,0.0001655,3.961e-05,0.00010798,0.01164542,0.01083575,0.00069899,0.00292241,0.02616928,0.0249784,0.00110167,0.00429829,0.00172204,0.00223251,0.04487225,0.02052113,0.00600599
7.5,0.01017343,0.05619347,0.00184183,0.00182408,0.01941806,0.0051431,0.02402966,0.00497985,0.0001902,0.00011206,0.00870816,0.01028936,0.00078009,0.00341627,0.0264974,0.00429011,0.00678984,0.06020095,0.0051963,0.00107328,0.00484002,0.00701011,0.00095241,0.01438311,0.00982815,0.000713,0.0005861,0.00036444,0.0005965,0.00054886,0.00018202,3.093e-05,0.00018219,6.275e-05,5.76e-05,0.00026216,0.00023058,6.193e-05,0.00046812,0.00068815,0.02036998,0.03156119,0.03929078,0.02500054,0.00382104,0.02189655,0.06578954,0.06485581,0.05075836,0.0682681,0.07210517,0.0101285,0.00738189,0.02309526,0.00069571,0.00143815,0.00037166,0.00043216,0.00045881,0.00075113,0.00041025,0.00042007,0.00108702,0.00035923,0.00079369,0.0003918,0.00032427,7.365e-05,6.027e-05,0.00015699,0.00010883,0.00020495,2.677e-05,0.00014372,3.247e-05,9.418e-05,0.00938158,0.00887331,0.00057274,0.00257643,0.02156277,0.02509466,0.0008956,0.00341181,0.00147661,0.00187296,0.03947621,0.01702178,0.00455248
8.0,0.00885605,0.04889666,0.00160399,0.00163965,0.01531885,0.00458089,0.0183404,0.00374876,0.00016722,9.821e-05,0.00786652,0.00882593,0.0006815,0.00287582,0.02058919,0.00325636,0.00637765,0.04911119,0.00448956,0.00094052,0.00432298,0.00629309,0.00080938,0.01354024,0.00901258,0.00062195,0.00050003,0.00031894,0.00050883,0.00047394,0.00016031,2.707e-05,0.00015886,5.509e-05,5.042e-05,0.00023032,0.00020096,5.394e-05,0.00041182,0.00059886,0.01562367,0.02697908,0.03408916,0.02192765,0.00343934,0.02276844,0.0580952,0.05469981,0.04611634,0.06009087,0.06269694,0.00865038,0.00607299,0.02436503,0.00061295,0.00126205,0.00032599,0.00037453,0.00039587,0.0006617,0.00035831,0.00036924,0.00094835,0.00032813,0.00069429,0.0003435,0.00028464,6.424e-05,5.295e-05,0.00013607,9.362e-05,0.00017518,2.344e-05,0.00012598,2.685e-05,8.31e-05,0.00773408,0.00730919,0.00049234,0.00218508,0.01839086,0.02534222,0.00075147,0.00281024,0.0012768,0.00168301,0.0350965,0.01395141,0.00398302
